Author,Quote
Carolyn Porco,"Titan has no liquid water on its surface, and any liquid water beneath its surface is inaccessible to us, as far as we know. It has hydrocarbon lakes, but we don't know of any organisms that could live in those, not at the temperatures that we find on Titan. Any reference to possible life in lakes on the surface of Titan is pure speculation."
"Albert II, Prince of Monaco","I really wanted to address different issues of protection of biodiversity, water management issues that I knew were pretty severe in most countries, and then of course climate change."
Kyle Schmid,I'm petrified of spiders. I hate them. I sleep with a glass of water beside my bed every night. I woke up once to take a sip of water and almost swallowed a dead one floating in the glass.
Xenophon,"For drink, there was beer which was very strong when not mingled with water, but was agreeable to those who were used to it. They drank this with a reed, out of the vessel that held the beer, upon which they saw the barley swim."
Rita Marley,Not one child should be denied food nor water. Not one child should suffer.
Larry Ellison,We have an ideal location for a couple of organic wineries on the island. But the reintroduction of commercial agriculture to Lanai is 100% dependent upon increasing the available water on the island. So we're going to use solar energy to convert seawater to fresh water.
Mikhail Gorbachev,"I grew up in a family of peasants, and it was there that I saw the way that, for example, our wheat fields suffered as a result of dust storms, water erosion and wind erosion; I saw the effect of that on life - on human life."
Steve Backshall,"Dehydration is a serious problem, particularly for young hedgehogs in the summer, so having some water out that they can drink is important."
Jeremy Clarkson,"I have a pathological terror of falling through ice. I nearly drowned once. I fell off a boat and got a cramp, and was rescued by an oil-rig diver, a great bear of a man who simply leant into the water and scooped me out with one finger."
"Oliver Wendell Holmes, Sr.","Memory is a net: one finds it full of fish when he takes it from the brook, but a dozen miles of water have run through it without sticking."
Sue Kelly,"We have increased conservation spending, enacted legislation that enables us to clean up and redevelop abandoned brownfields sites across the country, and implemented new clean water standards that will protect us from arsenic."
Cheech Marin,Chicanos and running water are endlessly fascinating. I can watch them all day.
Marion Barry,"People blame me because these water mains break, but I ask you, if the water mains didn't break, would it be my responsibility to fix them then?"
Sohla El-Waylly,"Ultimately, mayonnaise and aioli are brothers from the same mother. Both are emulsions of oil and water, which just means that the two incompatible liquids are brought together with the help of a third party stabilizer to create something thicker, creamier, and richer than before."
James E. Faust,"I remember the day of my baptism very vividly. I was baptized in the baptismal font in the Tabernacle on Temple Square. Those who were being baptized put on white coveralls, and one by one were gently taken down the steps into the water."
Rachel Hollis,"When someone tells me they want to start a diet, I'll suggest they start by aiming to drink half their body weight in ounces of water every day. It's much easier to add a habit than to take one away, but the water goal is a challenge. When they conquer that for the month, they've set a new standard for achievement and can add on something tougher."
Travis Knight,The water in 'Life of Pi' is very realistic.
Buffalo Bill,"Some days I would go without any fire at all, and eat raw frozen meat and melt snow in my mouth for water."
Fred Thompson,"We have some real political differences among us, but we all share the same goals: clean air and water, injury free workplaces, safe transportation systems, to name a few of the good things that can come from regulation."
Evan Sayet,"At the Olympics in China, every color was represented... and that was just the drinking water."
Fernand Leger,Man needs colour to live; it's just as necessary an element as fire and water.
Sylvie Guillem,"A drop of water can't stop a fire alone. But a drop of water, plus another one, plus another one, then you have the rain, and the rain can stop the fire."
Peyton List,"In Singapore, I want to go to the water park on Sentosa Island."
Frederick William Robertson,"To turn water into wine, and what is common into what is holy, is indeed the glory of Christianity."
Theodore White,"A liberal is a person who believes that water can be made to run uphill. A conservative is someone who believes everybody should pay for his water. I'm somewhere in between: I believe water should be free, but that water flows downhill."
Gene Fowler,"Never thank anybody for anything, except a drink of water in the desert - and then make it brief."
Marilyn French,My books are water; those of the great geniuses are wine - everybody drinks water.
Roger Maris,Candlestick was built on the water. It should have been built under it.
Samuel Butler,"Evil is like water, it abounds, is cheap, soon fouls, but runs itself clear of taint."
Ross Perot,"If you can't stand a little sacrifice and you can't stand a trip across the desert with limited water, we're never going to straighten this country out."
Dave Freudenthal,"Our lifestyle, our wildlife, our land and our water remain critical to our definition of Wyoming and to our economic future."
Bill Frist,"This legislation confronts the human truth that the need for clean water knows no borders, and proper management and intervention can be a currency for peace and international cooperation."
Dave Freudenthal,The U.S. Supreme Court has established that the tribes own their water. What I'd like to focus on is doing something with the water that results in economic development.
Olive Schreiner,"Perhaps the old monks were right when they tried to root love out; perhaps the poets are right when they try to water it. It is a blood-red flower, with the color of sin; but there is always the scent of a god about it."
Ludovico Ariosto,"Such fire was not by water to be drowned, nor he his nature changed by changing ground."
Robert Hall,"Call things by their right names - Glass of brandy and water! That is the current, but not the appropriate name; ask for a glass of liquid fire and distilled damnation."
Francis Bond Head,Do you think Revolutions are made with rose water?
Bill Rodgers,"My biggest weakness as a endurance athlete has been in not drinking enough water after training, thereby racing sometimes while dehydrated."
Charles Olson,"This morning of the small snow I count the blessings, the leak in the faucet which makes of the sink time, the drop of the water on water."
Timothy White,No publication is a staple of life. It's not bread and water. You have to make it noteworthy in people's minds and even in their hands as they're holding it.
Bud Abbott,"They disallowed this and disallowed that, and now I can't even get my head above water!"
Walter Lang,Neither does man have gills for living in a water environment; yet it is not sinful to explore the depths of the oceans in search of food or other blessings.
Frank Langella,But I think one of the reasons I tend to stay in the water most of the time is I distrust the comfort.
Lizzie Andrew Borden,"When I first came down stairs, for two or three minutes I went down cellar to the water closet."
Michael Moriarty,When I got political that blew our marriage out of the water. I was not the same person and I admit that.
William Whipple,"The river route is certainly preferable, as it affords good grazing and an abundance of water."
Roland Emmerich,"There's a rule in Hollywood: stay away from water and stay away from snow, and I had both."
Ellsworth Huntington,"After washing there was no place to pour the water except out of the window onto the heads of the people in the streets, which is the proper place to throw everything that is not wanted."
Dennis Brown,"Sometimes that is why you might even stay in the bathroom for even half an hour, making that water running all over, just singing."
Jon Crosby,I need to think about 'Make sure you drink your water.' That's the kind of person I am.
Dean Koontz,"I have avoided becoming stale by putting a little water on the plate, lying on the plate, and having myself refreshed in a toaster oven for 23 minutes once every month."
Jerry Costello,"Maintaining clean, safe water remains one of our greatest national and global challenges and responsibilities."
Robert Fortune,"This may be done by grafting, by confining the roots, withholding water, bending the branches, or in a hundred other ways which all proceed upon the same principle."
Susan George,"I think the market is always going to be around. The goal is not to say, let's get rid of the market, because the market does render a huge number of services, and I don't want to have a fight about the price of something every time I buy a book or a bottle of water."
Ezra Cornell,"The summer of 1830 I... blasted the tunnel through the rock to take water from the dam above the falls for the mill... In 1831 we lowered the tunnel four feet, and built a new dam across the creek."
Cliff Richard,"There's loads of things you can do to make things easy for your throat, you can drink a bit of lemon and hot water couple of spoons of honey, you can gargle with port, I've done it a couple of times myself - but don't swallow it!"
George Vancouver,"The sea has now changed from it's natural, to river coloured water, the probable consequence of some streams falling into the bay, or into the ocean to the north of it, through the low land."
Robert Mondavi,My mother served me wine and water from the time I was 3 years old.
Siobhan Davies,"Those 25 dancers we worked with for a day, in as highly productive a way as possible - a long class, a period of teaching bits of the repertory - in fact I didn't teach Bank, I've used parts of Oil and Water."
Ron Kind,"In addition, the oil royalties the Federal Government does not collect from big oil will starve the Land and Water Conservation Fund of critical financial resources."
Bashar al-Assad,"Israel ranks her priorities in the following way: security, land, and water."
Vincent D'Onofrio,"The minute you start feeling like you've got it down, you know what you're doing, you're dead in the water."
Robert Kiyosaki,"Money is kind of a base subject. Like water, food, air and housing, it affects everything yet for some reason the world of academics thinks it's a subject below their social standing."
Ken Salazar,I want all the interested parties to come together and develop a solution that provides additional water and helps the lower Arkansas River communities thrive again.
Amy Irving,"You walk off the plane in Rio, and your blood temperature goes up. The feel of the wind on your face, the water on your skin, the taste of the food, the music, the sexuality; Brazilians are very comfortable in their sexuality."
Richard Levin,Water is free of charge. Why then do people drink Evian?
Bill Paxton,"You don't really get to pick and chose what you would like to be doing. But I've been very fortunate, and I think water seeks its own level. You do gravitate towards things that you would get off on."
Lee R. Raymond,"It is the potential for economic growth that provides the basis for the development of countries, for bringing to people essential goods and services, such as water to drink and facilities for healthcare."
Michelle Rodriguez,"It's the board I had a problem with. I could totally handle being in the water and stuff. I came here to do my own stunts. Water! Ocean! Action! Big waves! That water, that water has tamed me. You can feel that the world is connected to it."
George Aiken,"True conservation provides for wise use by the general public. The American people do not want our resources preserved for the exclusive use of the wealthy. These land and water resources belong to the people, and people of all income levels should have easy access to them."
Jared Diamond,"The United States has long thought of itself as the land of infinite plenty, and historically we did have abundant resources. But now we are gradually exhausting our fisheries, our topsoil, our water. On top of that, we're coming to the end of world resources."
Nastassja Kinski,"Water for me is so essential, like swimming."
Sue Kelly,The president's budget proposals have neglected water infrastructure.
John Salazar,All communities have a right to clean water. The taxpayers of Pueblo should not have to carry the burden of the clean up cost simply because they live downstream.
James Wolfensohn,"Well the specific role of the World Bank is to be ready with financial assistance immediately after this emergency takes place because you need to reconnect water, you need to reconnect power, you need roads, you need bridges, and that has to be done urgently."
Michael D. Barnes,"If you are a gun manufacturer, the product you make is not subject to safety regulation by the Consumer Product Safety Commission. Toy guns are subject to safety regulation; water pistols are, but not real guns."
John Blair,"Initially charged with assaulting a police officer and resisting arrest I was held for 36 hours, was beaten by cops and made to stand spread eagled against the cell wall for 12 hours with no food or water, until I collapsed. Everyone was strip searched on the way in."
John C. Reilly,"One of the unique things is that whether we were out at sea or in the middle of the water tank, a lot of times you just couldn't leave. Especially when we were out at sea."
Morris Chestnut,"You go from movies where you are wearing nice clothes and you're trying to smell good to a movie where you are in water and you are wet all day, and you are dealing with that elements, it gets rough, but it was definitely something I wanted to try."
Eliot Engel,"I represent a district covering Rockland, Westchester and Bronx counties, all of which are part of the 9 million people that this water is so important for."
Jon Crosby,"Just having the pain of being alive without anything else, whether it's good or bad. There's a lot of serious songs on the record, you know. That song is just about feeling like a fish out of water, feeling like you don't belong on the planet sometimes."
William Falconer,"Hence a ship is said to be tight, when her planks are so compact and solid as to prevent the entrance of the water in which she is immersed: and a cask is called tight, when the staves are so close that none of the liquid contained therein can issue through or between them."
Jerry Costello,Population growth and development place additional stress on the Nation's water infrastructure and its ability to sustain hard-won water quality gains.
Jerry Costello,"In celebration of this Earth Day, I encourage all Members of the House to support legislation aimed at investing in the improvement of water quality in our Nation's lakes, rivers, streams and estuaries."
John C. Hawkes,To be anywhere near an enormous ocean liner when you are just like a fish in the water is frightening.
Roy Barnes,"By creating a Metropolitan North Georgia Water Planning District, we will give local governments a framework for working together on an issue that affects our whole state."
Christopher Atkins,"Brooke might tell a different story, but I've always loved the water."
Robert Mondavi,"I always knew the importance of it, since I was three or four years old my mother used to feed me wine and water. I grew up with wine as liquid food."
Shawn Ashmore,My power is the ability to control water molecules and form them into ice.
Jo Bonner,"Relief organizations both large and small are coordinating deliveries of food, clothing, water, and other basic necessities to those impacted by Katrina."
Henry Williamson,Yet otters have not been hunters in water long enough for the habit to become an instinct.
Willy Ley,"Just as the water of a river near its mouth, in its final form, is composed largely of many tributaries, so an idea, in its final form, is composed largely of later additions."
Paul Lynde,"I often go on a liquid fast a couple of days a week. I never take just water. Instead, I'll have maybe six glasses of vegetable and fruit juices a day."
Jay Inslee,"I reflect back 35 years ago, and look how far we have come in America with our environmental policy to improve the conditions of our air and water, and we have had some real successes."
Hedy Lamarr,Many people are target people. Once when Louis B. Mayer insulted me I poured a glass of water over his head.
Jamelia,I used to be a window cleaner. I got fired because I sometimes liked to drink the soapy water.
C. S. Forester,With two people and luggage on board she draws four inches of water. Two canoe paddles will move her along at a speed reasonable enough in moderate currents.
William Scranton,"And at ten, or whatever time, in the morning we had the press conference, what we knew is there had been an incident at Three Mile Island, that it was shut down, that there was water that had escaped but it was contained."
William Scranton,"Obviously, I'm not looking in the core of the reactor, but I am looking at what, at that time, was considered the source of the trouble, which was the water and where it was."
Charles Lyell,"In the shallow parts of many Swiss lakes, where there is a depth of no more than from 5 to 15 feet of water, ancient wooden piles are observed at the bottom sometimes worn down to the surface of the mud, sometimes projecting slightly above it."
Danny Elfman,"The beauty of a main title is that you establish your main theme and maybe a bit of your secondary theme. You plant the seed that you're going to go water later in the score. And so, having that removed just made it so much more difficult."
Gordon Sinclair,"Today, the rich bottom land of the Misssissippi is under water and no foreign land has sent a dollar to help."
Rider Strong,"I spent four days and four nights just covered in blood, falling in the water."
Lee Haney,Muscle and water is critical in burning fat.
Parker Stevenson,"I wanted my children to have the same exposure to the water I had. My strongest memories of Northeast Harbor are going in a small Whaler with my dad, looking for osprey."
George Ripley,"But in this Second Work if thou extract our Air and our Fire with the phlegm water, they will the more naturally and easily be drawn out of their infernal prison, and with less losse of their Spirits, than by the former way before described."
Stephen Collins,"In Hawaii, we go to this wonderful place, all families. My wife and I go directly from breakfast to a beach chair where we read all day. My daughter goes from water to pool to running around with friends she meets, some of whom are regulars there."
Lawrence Hargrave,"As to the effect of the wave on the air, we will suppose the water to be quite flat and the air motionless, a heavy undulation comes on the scene, it has to pass, so it pushes the air up with its face, letting it fall again as its back glides onwards."
Tom Kite,"It's a piece of property that, if you're going to have a development out here, you need to have a golf course because you need to take care of the effluent water being created by the development."
Louis Leakey,"I put a bullet into the back of the crocodile's neck just behind the head, thus killing it. If a crocodile is hit in any other part of its anatomy it disappears into the water and is irrecoverable."
William Bligh,"Adventure Bay is a convenient and safe place for any number of ships to take in wood and water during the summer months: but in the winter, when the southerly winds are strong, the surf, on all parts of the shore, makes the landing exceedingly troublesome."
Frances Farmer,"I couldn't get that same feeling during the day, with my hands in dirty dish water and the hard sun showing up the dirtiness on the roof tops. And after a time, even at night, the feeling of God didn't last."
Susan Smith,I dropped to the lowest point when I allowed my children to go down that ramp into the water without me.
Warren Cuccurullo,I never used to drink water. I am drinking six liters of water every day now. That's the key.
Junipero Serra,"The tract through which we passed is generally very good land, with plenty of water; and there, as well as here, the country is neither rocky nor overrun with brush-wood."
William Dampier,"The 6th of August in the morning we saw an opening in the land and we ran into it, and anchored in 7 and a half fathom water, 2 miles from the shore, clean sand."
Evel Knievel,"Unless we do things in this country to slow down our population, slow down our birth control, provide better water for people, provide power for people, we're gonna find out that the next wars are not going to be fought over diamonds, gold and political things."
Steve Guttenberg,"In Utah, there are no bad things in the water there. It's just smooth, really beautiful."
Bjorn Lomborg,My suggestion is that we should first work to ensure the Third World has clean drinking water and sanitation.
Michael Stipe,"We made part of the record in Miami, and I would go down to the beach, and not 20 feet from the water I see a fish that is at least seven feet long swimming close to the shore. I did not go back in the ocean the entire month."
Mary Hunter Austin,"To underestimate one's thirst, to pass a given landmark to the right or left, to find a dry spring where one looked for running water - there is no help for any of these things."
Marjory Stoneman Douglas,"Child welfare ought really to cover all sorts of topics, such as better water and sanitation and good roads, and clean streets and public parks and playgrounds."
Jennifer Connelly,"Dark Water was one of my favourite films to shoot because of Walter. I had seen the previous films he had directed, Central Station and Motorcycle Diaries, and I thought they were great. I really trusted him."
John Sayles,I always feel that there are no final victories and no final defeats. But it's true that America is in a hole right now. There are a lot of dead fish in the water.
Laurel Clark,"Gravity pulls our bodily fluids down, like water in a glass goes to the bottom part of a glass. In space, the water doesn't stay in the bottom of the glass. It distributes itself evenly over time throughout the entire volume of the glass."
Kelly Preston,I grew up in Hawaii so I was outside a lot playing in the water.
Suzanne Somers,Now I understand what was happening. I don't particularly gain water; I don't have water retention.
Satish Kumar,"Monks will have three begging bowls for their food: one for water, one for liquid food, one for dry food."
William Scranton,"When I started walking and I looked down and I saw on the floor this water, which looked like, you know, water in your basement except it happened to be in the auxiliary building of a nuclear power plant."
Les Aspin,We ought to be providing protective sanctuaries for the Kurdish rebels. That means finding some places where they can come and to which we will then be able to provide food and water and medical help.
David F. Houston,"By the immediate preservation of eggs for home consumption through the use of water glass or lime water, larger supplies of fresh eggs may be made available for marketing later in the season, when production is less and prices higher."
Paul Farmer,"Civil and political rights are critical, but not often the real problem for the destitute sick. My patients in Haiti can now vote but they can't get medical care or clean water."
Rob Walton,"If I've got food and water, as long as I can exercise my mind and keep it nimble, then I'll be okay."
Rider Strong,"To have an opportunity to make a movie like Cabin Fever, you have to get stuff thrown on you or you have to fall into a pit of water. It brings you that much closer to your mindset as a character."
Lisa Snowdon,On long haul flights I always drink loads and loads of water and eat light and healthy food.
David R. Ellis,"Waterworld was the best time of my life. It was physically demanding, but it was fun. I mean, you're in Hawaii for nine months shooting on the water every day."
Francis Parkman,It was a rich and gorgeous sunset - an American sunset; and the ruddy glow of the sky was reflected from some extensive pools of water among the shadowy copses in the meadow below.
Oksana Baiul,"One of my favorite vacation places is Miami, because of the people, the water and the beach - of course - and the architecture on Miami Beach is so wonderful."
Itzhak Perlman,A sponge has that much absorbent capability and after a while you can pour water over it and nothing stays.
Wilhelm Ostwald,"The well-known fact that the form of a specific substance, e.g. water, and hence its properties can alter without a change in composition was disposed of by the formal view that a physical, not a chemical, process was involved."
Geraldo Rivera,"One thing about these storms, we know how disruptive things can be when we depend on the system to keep working. What would happen if the terrorists do it? Knock down the power, destroy bridges, cut the water supply?"
John Dyer,St. Michaels Mount is a favourite place of mine; people will walk across to the Mount all day and assume they will be able to walk home. The spectacle of hundreds of people realising that the path they walked over on is disappearing under several feet of water is very amusing.
Kenneth Grahame,"Slowly, but with no doubt or hesitation whatever, and in something of a solemn expectancy, the two animals passed through the broken tumultuous water and moored their boat at the flowery margin of the island."
Susan Smith,"I wanted to end my life so bad and was in my car ready to go down that ramp into the water, and I did go part way, but I stopped. I went again and stopped. I then got out of the car and stood by the car a nervous wreck."
Junipero Serra,"The people got daily worse from the cold and the bad water, and they must all have perished if they had not discovered the port about the time they did."
William Dampier,"In the road ships must ride in 30, 40, or 50 fathom water, not above half a mile from the shore at farthest: and if there are many ships they must ride close one by another."
Robert Barany,It came to me then in a flash that obviously the temperature of the water was responsible for the nystagmus.
Kim Dae Jung,"And also, we are providing, you know, a nuclear power plant in the north, two light water systems, so some 4 or 5 billion dollars we are providing to meet with North Korean requests on the condition North Korea will not produce a nuclear weapon."
Brad Paisley,"If you're really on top, you probably didn't do that great, 'cause you have to water it down a bit for it to get that mass appeal."
Polly Toynbee,"Is anyone serious about the politics of happiness? David Cameron dipped a toe in the water, using the word lightly, but denying the hard policies it implies. Labour shies away from it, but should take up the challenge."
Maria Monk,"Standing near the door, we dipped our fingers in the holy water, crossed and blessed ourselves, and proceeded up to the sleeping-room, in the usual order, two by two."
Jennifer Granholm,"We've got this proposal which has been languishing in the legislature, the Water Legacy Act, which is derived from a Republican task force on protecting the Great Lakes. Yet nothing has been done on it."
Jennifer Granholm,"We went to a small lake, Bass Lake. It was beautiful. It was perfectly still when we got there in the morning. The fog was lifting off the water. It was just magical. And we did catch some fish, 13 fish."
Sam Donaldson,"You really get the most out of sweet corn if you pick the corn off the stalk and rush it to a pot of boiling water. The longer you wait, the more sugar you lose. But if you get it in the first half hour, that is the sweetest corn ever."
Billy Tauzin,"You probably have to have redundant levee systems with canals in between them, like the Dutch have, to make sure that incoming water is channeled off to areas where you deal with it rather than have it drown you."
Billy Tauzin,"New Orleans has to learn to live with water rather than in fear of water, and we need a master plan that shows us how to do this. It's so critical that we send a signal to everyone in the country that we're serious about rebuilding New Orleans."
George Grey,On embarking to return we could perceive no sign of One Tree Island; and as we swept down towards the sea the leafy top of a tree seen in the clear water under the boat was the only evidence of its existence; though a few hours ago it had formed so prominent an object.
Thomas Shadwell,"I am, out of the ladies' company, like a fish out of the water."
Richard Leakey,"For fossils to thrive, certain favorable circumstances are required. First of all, of course, remnants of life have to be there. These then need to be washed over with water as soon as possible, so that the bones are covered with a layer of sediment."
Connie Sellecca,The pictures we saw before we got down here didn't even touch the reality of what it is like being here. We can be right on the beach with all the devastation and still not be able to imagine what it was like when the wall of water actually came up.
Ric Keller,"You can lead a bureaucrat to water, but you can't make him think."
Peter Hain,"When you look at what I've done here, you see a consistent theme of reforms which is not driven by any dogma from across the water, but a radical agenda to make sure Northern Ireland's people enjoy equal opportunities, driven by the values of social justice."
James Cameron,"I lived in a small town. It was 2,000 people in Canada. A little river that went through it and we swam in the - you know, there was a lot of water around. Niagara Falls was about four or five miles away."
Dionne Warwick,"Man will never understand woman and vice versa. We are oil and water. An equal level can never be maintained, as one will always excel where the other doesn't, and that breeds resentment."
Sarah McLachlan,Water is very forgiving. Everything lifts in water.
Howard Stern,"Yes, I believe blue material is funny, but if that's all you've got, you're dead in the water. It's not good."
Paul Tsongas,"This land, this water, this air, this planet - this is our legacy to our young."
Harri Holkeri,The Baltic Sea is becoming more and more polluted. Not everybody living near the shore of the Baltic Sea is protecting it. It is the water of life for countries like Finland and Sweden.
J. D. Hayworth,Ensuring that high quality water is provided to all Arizona's citizens is the responsibility of elected officials at all levels and I am happy to do all I can to assist the city's efforts.
Don Rose,Daley may be sinking. The hot water has gone from his chest to his neck.
Steve Earle,"Me, I'm spiritually retarded, I need to be knee deep in water with a fly rod in my hands, that's about as close to God as I get."
Alexandra Paul,"Unless everyone grasps the importance of having only two children per couple, wars won't be over just oil anymore, they will be over water and food."
Michael Tolkin,"I've yet to meet a writer who could change water into wine, and we have a tendency to treat them like that."
Kathleen Blanco,"When your whole system, your whole civilized system goes down, this is pretty much what you get left with. We have no communications, no running water, no electricity, no real help."
Peter T. King,"If we have another 2,000 people killed, I want Nancy Pelosi and George Soros, John Conyers and Pat Leahy to go to the funeral and say, 'Your son was vaporized because we didn't want to dump some guy's head under water for 30 seconds.'"
John Krasinski,My favorite water cooler topic is fantasy football. I used to make fun of friends for doing it and now I'm obsessed.
Devon Werkheiser,"I wouldn't exactly call it 'cooking' but I can make noodles. That means I can boil water, put the pasta in and wait until it's done."
John Doerr,"It does seem really hard to get consumers to do the right thing. It is stupid that we use two tons of steel, glass, and plastic to haul our sorry selves to the shopping mall. It's stupid that we put water in plastic bottles in Fiji and ship it here."
Joel McHale,"I don't think the NFL had the slightest intention of taking me, except as maybe a water boy."
Rick Perry,"I grew up in a house with no running water, 16 miles from the closest place that had a post office. I had a very parochial view of the world."
Zachary Quinto,"Every time I get on an airplane I have a routine. I cover the inside of my nostrils with anti-bacterial ointment. I'm popping Zicam like it's candy. And I drink, literally, from L.A. to New York, six bottles of water."
Leslie Fiedler,"What I really dream of is that somebody would blow everything I've done out of the water in a beautiful way, which would clear the way for something better to come along."
Bobby Jindal,Congress did a good thing back in 1995 in passing the Deep Water Royalty Relief Act. That act did a simple thing. It provided automatic royalty relief for new leases for 5 years in the deep waters of the Gulf of Mexico.
Phillip Noyce,"Oh yeah - I watched Knife in the Water, saw the shot, and repeated it. But even if I hadn't seen that film, inevitably the camera would've ended up on top of that mast, I mean if you think of it there are only so many dynamic shots on a boat."
Billy Tauzin,"Venice, Italy, survives 365 days out of every year in water; New Orleans can survive a few days of water if it has to."
Billy Tauzin,"The immediate, highest priority need, in my humble opinion, is that we build quickly the interim structures that can channel water away from population and businesses in the New Orleans area."
Billy Tauzin,"Invite the best and brightest to compete for a grand prize to come up with designs, including new zoning, building codes and so forth, for New Orleans that could make it safe from water, and let the state and city pick the plan that works best for Louisiana."
Lynn Johnston,"I loved the Little Lulu stories, where she would fantasize that her bedroom rug would turn into a pool of water, and she could dive down into the center of the world."
Nick Cassavetes,"We do have a problem in this country. You can either make a movie and ignore that, or you can acknowledge it and say, this is the water that we're living in. You know this - the movie lives in this - it's centered around this particular problem, and I chose to acknowledge it."
Anna Held,"How many women have the courage to start properly with a cold, cold bath early in the morning? I jump in, throw the water, cold as ice, and after the first plunge I am happy."
Anna Neagle,"No matter how much we love our family and friends, a part of us needs the occasional moment of solitude as a plant needs water. It is the inmost core of each of us that, that part which nobody can define but which we all recognize because it never changes."
Sally Schneider,A lot of people who want to cook with less fat are surprised by that. You can cook vegetables in a little water in a covered pan and then throw the fat into the residual liquid to coat them.
Ernest Thompson Seton,"The white spruce forest along the banks is most inspiring, magnificent here. Down the terraced slopes and right to the water's edge on the alluvial soil it stands in ranks."
Rachel Weisz,"That was me under the bath and the water being held down. The director wanted it to look as real as possible so he told Keanu, in front of me, don't go easy on her. So it was scary."
Lynette Fromme,"How much will you give for the lives of your childrens children, which is yourself? How much are people willing to give up for air, earth, water, animals, and the coming generations? I think the answer to that is pretty clear."
Sylvester Stallone,"When you're on top and you lead the parade, everyone's there throwing lilies and lilac water on your head. But when those parades have gone by and there's a storm in your heart, there are very few people that are going to sit there and listen to you bemoan life."
Nicholas Kristof,"One of the things that really got to me was talking to parents who had been burned out of their villages, had family members killed, and then when men showed up at the wells to get water, they were shot."
Anthony Doerr,I do fish. I think there is a connection between thinking and fishing mostly because you spend a lot of time up to your waist in water without a whole lot to keep your mind busy.
Moshe Sharett,"As for now, we must not forget who would have to exchange the land? those villages which live more than others on irrigation, on orange and fruit plantations, in houses built near water wells and pumping stations, on livestock and property and easy access to markets."
Margaret Atwood,The story as told in The Odyssey doesn't hold water. There are too many inconsistencies.
Karl Wilhelm Friedrich Schlegel,There are writers in Germany who drink the Absolute like water; and there are books in which even the dogs make references to the Infinite.
Kirk Gibson,"Schools used to fund-raise for luxuries, like a trip to the water slides. Now, we fund-raise for things we have to have."
Pauline Phillips,"Religion, like water, may be free, but when they pipe it to you, you've got to help pay for piping. And the Piper!"
Fred Savage,"I promised to always bring up a glass of water to her before we go to bed, and she promised to never let me dress myself."
Mike Thompson,It's the water. Everything is driven by the water.
Hugh Laurie,I have been instrumental in banning bottled water on the set. It hasn't gone that well with the crew... so I replaced it with tequila.
Nicholas Stern,Meat is a wasteful use of water and creates a lot of greenhouse gases. It puts enormous pressure on the world's resources. A vegetarian diet is better.
Mark Ruffalo,"My personal belief is that you carry your own water in a relationship. If you see a girl and you think she's hot, that's a very human reaction, but you don't go and tell your spouse that, you know? So in one way it's how you behave."
Jason Segel,"I've just grown a little disappointed with 'Muppets in the Old West', 'Muppets Under Water' and all these weird concept movies. I just want to go take it back to the early 80's, when it was about the Muppets trying to put on a show. That's what I'm trying to bring back."
Estella Warren,"Because I was a champion swimmer in Canada, they're always trying to get me in the water in movies! I've drawn the line now with this film. No more water!"
Amanda Beard,"With my sport, I am outside and in the water, which can be really drying and damaging to the skin, so I try to be vigilant about taking good care of it."
Amanda Beard,"I'd go to swim practice, put my face in the water, and I didn't have to talk to anybody. Swimming was like my escape, but it was also like this huge prison because I felt like I had to swim up to people's standards."
Liam Hemsworth,"I go down to Newport and Huntington a lot. It's more crowded than where I grew up on Phillip Island, but I think it's helped me adjust to life in America - getting into the water as much as I can."
Breckin Meyer,"I once threw a water balloon on a girl because I caught her cheating on me. She was kissing my friend and I thought, 'Oh, this can't be happening.' It was bad and I was much older than you think throwing a water balloon. I was 14."
Brooke Burns,"I swim all the time at night - I've always been a water girl. It's a black-bottom pool and my pool light was out, and as I've done a thousand times I just kind of did a little seal dive. I saw a huge bright light and I literally thought, 'That's it.'"
Timothy Olyphant,"Sharks will scare me. I went out to Malibu a couple of weeks ago. Beautiful, clear day, out in five feet of water, going to surf, and there was this big ol' freakin' leopard shark... I'm looking at him and I'm thinking, 'OK, he won't hurt me.'"
Stephanie Rice,"I think for me I've always loved being in the water and I love training and I love being at the pool so you know it's not a chore for me to go training, but come race day I would never just train to train - I train to race."
Ryan Hall,"The big thing is hydrating the day before the race. I will have 20 ounces of water right when I get up in the morning the day before, and I'll drink throughout the day."
Petra Nemcova,"I can dance for, like, four or five hours nonstop without even drinking water. It's a beautiful, beautiful thing."
Natalie du Toit,"Going out there in the water, it feels as if there's nothing wrong with me."
Heather Donahue,I'm trying to drink more water.
Audrey Tautou,"I like the light that comes off metal shutters at siesta time in the summer, having a break from driving in the shops at motorway services, the odour of petrol at petrol stations, rolling down little slopes. I hate it when you tread in a puddle and the water soaks your socks."
Gabrielle Union,I drink a gallon of water a day.
Gael Garcia Bernal,"I think the water dictates how food will taste in a country. In England the apples taste unlike apples grown in any other place. England is an island, there's a lot of salt in the air and in the water. I think that has something to do with it."
Darrell Issa,Some people say that watching pay freezes in the government is like watching water freeze. It expands.
Scott Weiland,"When people ask me if I have a hobby, a lot of times my answer is that I like to surf in warm water. I like to ski, if I have the opportunity. But really, I like to go to my studio and write music that I want to write, where there's no pressure to come up with a hit single."
