Author,Quote
Simon Mainwaring,"And if you look at the reality in the United States, where you have more than 40 million people below the poverty line and 42 million on food stamps, and then you look at poverty around the world, clearly the way we're running the engine of capitalism is not serving us well."
Mario Andretti,"When a car's ahead of you, as long as you can see it, you get a tow, just like the draft in NASCAR. Even if it's a long ways down the track, it punches a hole in the air that has to help. When you're running alone, you can feel the difference, and it shows on the clock, too."
Arianna Huffington,"I can tell you with authority that when I'm exhausted, when I'm running on empty, I'm the worst version of myself."
Kaya Scodelario,I had to learn to jog because I run like a fish. All my friends found the thought of me running on screen hysterical because I do absolutely no exercise.
Alberto Salazar,"I think in running, to be honest, that even though athletes are very dedicated and are willing to train and do whatever they need to do to prepare, more often than not they're not in a very professional environment where you've got a high performance director and a coach that are really monitoring your daily activities."
Gene Tunney,"Handball, swimming, running, jumping, basketball, and boxing were as much a part of me as breathing."
Octavia E. Butler,"Once you grow past Mommy and Daddy coming running when you're hurt, you're really on your own. You're alone, and there's no one to help you."
Barbie Ferreira,"When you surround yourself with really good energy, really good people, you almost don't even think about your body as anything but something to nourish yourself and keep you running."
Ananya Panday,"Some essential oils, a nice massage followed by a power nap helps me start my Sunday on the right note. After a week full of running around, this becomes the perfect rejuvenation."
James Carville,The only thing I'm running for is the state line.
Marcia Angell,"Unlike the federal government, most states don't have the option of running a deficit."
William Glasser,"Running a school where the students all succeed, even if some students have to help others to make the grade, is good preparation for democracy."
Dean Karnazes,I think I have some of my clearest thoughts when I'm out running.
Rebecca Pidgeon,"City life is stressful. Everybody is running around like crazy, stuck in traffic jams trying to make meetings, trying to make ends meet, trying to meet deadlines, trying to get kids to and from activities. There aren't enough hours in the day for all this business."
Lou Brock,"When I was a kid, I used to imagine animals running under my bed. I told my dad, and he solved the problem quickly. He cut the legs off the bed."
Collin Sexton,"Running out the tunnel and hearing my name called out for the first time, stepping out before the game. I just had a different type of feeling, it was amazing, like I actually made it to the NBA."
Jennifer Lawrence,"I've done archery for about six weeks, and rock climbing, tree climbing - and combat, running and vaulting. But also yoga and things like that, to stay catlike!"
Jose Altuve,I don't want to get on base and just run for the sake of running. What good is it if you steal 100 bases and get caught 60 times?
Miriam Defensor-Santiago,"As a factual matter, as in countries all over the world, technology and business practices have been running faster than legal responses and developments."
Mark Knopfler,"I still enjoy playing some of those early Straits songs, and I'm proud of what we did, and certainly we had some great times. It's what we all wanted when we were kids. But you've got to have the resilience to ride that thing, to pick up that ball and run with it. Because you will keep picking it up and keep running."
Rachel Hollis,"I cannot emphasize this enough: you must have a morning routine! The way you begin your day is crucial to the rest of your day. So if you begin it by pressing snooze 15 times, chances are you're going to be running behind all day long."
William Kent Krueger,"Readers anticipate that a significant element of every story will be additional exposure to the ways of the Ojibwe. The truth is that I enjoy this aspect of the work. Although I have no Indian blood running through my veins, in college I prepared to be a cultural anthropologist, so exploring other cultures is exciting to me."
Kristen Stewart,"Acting is such a personal thing, which is weird because at the same time it's not. It's for the consumption of other people. But in terms of creative outlets and expressing yourself, it's just the most extreme version of that that I've ever found. It's like running, it's exertion."
Robert Kubica,"We have seen a tendency for cars running the f-duct to use higher downforce levels than normal, because they can stall the rear wing and still generate good top speed."
Jennie Finch,"I love to run. I was challenged to run the New York marathon four months after having my youngest son, and since running isn't a big part of softball, the thought of a marathon was a stretch for me."
Aldis Hodge,"My mom told us that we should have good shoes, a good suit, and a watch, so I was running around at age 10 looking like a little old man. But somehow I grew to understand that a watch is a representation of myself, of my culture, taste, awareness and aesthetic."
David Gest,"But when alcohol comes in, start running. Because there's a demon there, and it goes back to her childhood."
Christian McCaffrey,"My position is a running back. So, the first part of my position is running. That means I need to run and be fast."
Gene Tunney,"In youth, we get plenty of exercise through games and running around, but as middle life approaches, we settle down, literally and figuratively."
James Lankford,"I think people see the social media numbers, and the assumption is made that we're running a campaign that is just social media, but I think we're running a very old-school campaign."
Ed Koch,"If I were running against Chuck Schumer. I would take every one of his Sunday press releases - and there are 52 for as many years as he's been there - and I would ask, 'How many of the things he said he was proposing became law?' I doubt many."
Angus King,It's hard running as an independent. I wouldn't have won the Senate election if I hadn't been governor. I had credibility. The hard part is getting voters to the point where they think it's thinkable and not a waste of time.
Buffalo Bill,I had many enemies among the Sioux; I would be running considerable risk in meeting them.
Christian Vieri,"I've always had music in my life. When I went running, I would put music on. Even before games I'd have music on."
Mark Wahlberg,All that running around in my underwear put money in my pockets. I can focus on working in interesting movies without having to worry about supporting myself.
Alberto Salazar,"I've run a lot of miles over the years, some fast and some not so fast. I've won some big races and I've had some big disappointments, but I enjoy the freedom of running and the challenge of training and competition as much now as when I first started back in high school."
Gene Fowler,Sometimes I think my writing sounds like I walked out of the room and left the typewriter running.
Art Malik,I'm lucky: I've got great photogenic eyes. You're up and running if you've got that and one brain cell to attach it to.
Jaimie Alexander,"I was cast in 'Thor' back in 2009, so it sort of took me out of the running for anything tied to DC Comics."
Davante Adams,"I'll be running, the ball will be in the air and I'll feel like I've been in that moment before. It's basically deja vu, like an active deja vu, I guess you could say."
Rachel Hollis,"Running a marathon was important to me, so I found time to train for it. Writing books is also important to me, so you know what? I carve out the time."
Arjun Rampal,"I think it is easier for thinner people to build on a frame once you get lean muscle. I get bored lifting weights at the gym, and it isn't enough as your body becomes stiff. So I train in different ways such as core training, cardio with weights, playing sports such as tennis, cycling, swimming and running 10 km once a week."
Jason Reitman,"I used to have a group called Bad-Movie Saturday. Every Saturday, six of us would go see the worst movie that came out each weekend. It'd be noon in Burbank. It was just a running commentary. All executives - we would each talk through the movie and make jokes."
Tom Perez,"The typical minimum wage earner is a provider and a breadwinner - most likely a woman - responsible for paying bills, running a household and raising children."
Drew Carey,"I work with a place in Santa Monica called Phase IV. My doctor recommended them to me when I started losing weight. They help people train for things like triathlons or biking and running races. They offer physical therapists, testing, lectures."
Sean Astin,"My wife is very patient. On our honeymoon in 1992, we got a motor home and drove from L.A. to Idaho and then down the coast. I was running a lot, then so she would drop me off, drive six miles, park and wait for me."
Hank Williams Jr.,Most all of my awards are at the Country Music Hall of Fame. You know we had the longest running exhibit in the Hall of Fame history with Family Tradition. More people went to see Daddy's stuff and all the things I have collected over the years than any other exhibit.
Andrew Vachss,"The third person narrator, instead of being omniscient, is like a constantly running surveillance tape."
Cam Newton,"I think for me, or for anyone who plays the quarterback position, it's almost an unspoken word when you think about leadership. Some guys can be a leader and be a running back or a lineman, or wide receiver, strong safety, or linebacker. But when you speak of quarterbacks, it's automatically a default that you're supposed to be a leader."
Paul Hollywood,"I have gone through some bad times with my own business. At one point, I was working my socks off, driving, delivering, baking. It was hard, hard work. But I worked through it. Running your own bakery is hard. I never came close to bankruptcy, but I had to cut back on staff."
Laura Marano,The best way to get to know the place you are traveling in is to walk around... and the best way to walk around is with comfortable shoes! Grab your travel buddy and your running shoes and go explore!
Terry Fox,"Even though I'm not running anymore, we still have to try to find a cure for cancer. Other people should go ahead and try to do their own thing now."
Chuck Pagano,"If you're running on fumes, you get to a point of diminishing results. Get some rest."
John Waite,I remember one day going in the studio to sing and then going to work with three separate songwriters before I came back in the studio. I was running on empty.
Theo Paphitis,"If you really want to sort out the High Street, you ask someone like Kate Swann at WHSmith, who has done a fantastic job of running profitable shops."
Nigel Farage,"I just say it as I see it, behave as I do. If people don't like it, they can take a running jump."
Christian Horner,"I was 25 when I stopped racing, I loved the teamwork and I wanted to apply what I knew about it into building and running a team."
Wolfgang Ketterle,"When I was running the marathons in Munich, I always trained by myself. Between the demands of graduate work and a young family, I had to train at unusual hours. A few times, I ran home from my lab late at night, which was 20 kilometers out of town."
Tamlyn Tomita,"Growing up with my mother who grew up during World War II being half Filipina, half Okinawan, and literally running around the jungles in the Philippines escaping Japanese military chasing after them - I grew up with what they deem now as trauma, generational trauma."
Dolores Huerta,My son Emilio is running for Congress to continue the fight for social justice.
Ben Carson,"I have this feeling that as time goes on, we're not getting any more civilized, and we should be. We're still running around like the days of Genghis Khan. There are so many important, better things to do and we need to encourage people to reach into the brighter side of humanity and not encourage people to continue to glorify the darker side."
"Albert II, Prince of Monaco",Time is running out if we want our next generations and the generations after that to continue living on this beautiful planet.
Adeo Ressi,"An open-minded person running a business might catch a problem faster than a closed-minded person. And when they identify a problem, they can fix it much faster."
Mark Manson,"I hate calendars, and after running my own online business for almost 10 years, I still don't have one."
Tom Seaver,Imagine if these computer geeks who are running baseball now were allowed to run a war? They'd be telling our soldiers: 'That's enough. You've fired too many bullets from your rifle this week!'
Haruki Murakami,"I just wanted to write something about running, but I realized that to write about my running is to write about my writing. It's a parallel thing in me."
Ali Krieger,"In order for me to perform the best I can out on the field, I have to fuel my body with the proper nutrients to be able to do all the running. I'm running four or five miles every game, so it's a lot. Even at halftime, I take electrolytes and have half a peanut-butter-and-jelly or whatever is sitting there just to keep my engine running."
Larry Ellison,We have most of the software industry running Autonomy.
Sherman Austin,"They went back there, looked at all the computers, asked me to come in and tell them what all the computers were for specifically so they knew how to dismantle the network I had been running."
Karl-Heinz Rummenigge,Everyone is always running after the money. But where is this money going?
Malcolm Gladwell,"A runner needs not just to be skinny but - more specifically - to have skinny calves and ankles, because every extra pound carried on your extremities costs more than a pound carried on your torso. That's why shaving even a few ounces off a pair of running shoes can have a significant effect."
"Leslie Odom, Jr.","I'm in no way running from 'Hamilton' or its success or these beautiful songs that I've been blessed to be able to be the one to introduce them. I certainly won't be the last to sing them, but to be the first, I feel very lucky."
Ryan Kwanten,"I'm not a big fan of the gym, I do lots of outdoor aerobics - yoga, swimming, running - but I kinda hate talking about it. We have a term in Australia, it makes you sound like a wanker."
Ben Shapiro,"Putin himself is a character out of fiction, an uber-macho former Soviet thug running a massive, expansionist kleptocracy. The man stages photographs riding horses barechested and hunting tigers. His enemies find themselves on the wrong end of radioactive poisoning."
Jim Breuer,"When you have three teenage girls, and you're married 21 years, and have a mother who's blind in one eye and has dementia who lives with you, and your dad has worse dementia, and you're into metal, and your wife is born again, you're never running out of material."
Curt Smith,"There's something rhythmic about running, so it's not surprising that I love it. I'm a bass player, after all."
Alistair Brownlee,"We're proud Yorkshiremen: we grew up fell running, and we still do it whenever we can. I did my first fell race when I was 11. It was a Tuesday night race called the Bunny Run, on a windswept moor above Haworth, and the prize was a chocolate egg."
Mrunal Thakur,The idea of running away and getting married excites me.
Randi Zuckerberg,Being your own boss doesn't just mean running your own company. It means taking control of what happens to you at work. And that starts with asking for a raise.
Pam Bondi,I don't believe I should be out running for another office instead of running my office.
Charles Duhigg,"Teenagers ultimately don't mind belonging to a group, because there's always the opportunity to eventually become someone new. The elderly, by definition, are running out of opportunities for reinvention."
Michael Vick,"The good thing is I don't put the ball in my right hand and I'm predominantly left-handed when I'm running the ball. I just have to take care of the football and even if I have two hands that are 100 percent, I still can't turn the ball over. It's just something I have to mentally prepare for, and I think I'm strong enough to do that."
William Westmoreland,It became very clear that Hanoi was in effect strategically running the Viet Cong operation.
Martin Sheen,"No, no, I never despair, because George Bush is not running the universe. He may be running the United States, he may be running the military, he may be running even the world, but he is not running the universe, he is not running the human heart."
Eliud Kipchoge,I got into running when I was being mentored by my coach. I tried it and developed a passion for it.
Sam Hargrave,"Running backwards down the stairs, holding the camera, trying to focus on what's in front of you is difficult, and you need to be able to protect the camera."
Dennis Skinner,"I did marathons long before they were popular, when people running round the streets were looked at oddly."
Haruki Murakami,"I have always liked running, so it wasn't particularly difficult to make it a habit. All you need is a pair of running shoes and you can do it anywhere. It does not require anybody to do it with, and so I found the sport perfectly fits me as a person who tends to be independent and individualistic."
P. J. O'Rourke,"There is only one thing that gives me hope as a Republican, and that is the Democrats. It's going to be hard to do a worse job running American than the Republicans have, but if anybody can do it, it's the Democrats."
Damian Marley,"I'm about 5' 10"", and my hair is the length of my whole body now. We grow our hair because of faith, but it's getting heavy. Most of the rastas I know with hair my length are elders, and they keep it tied up, but for a young person who's active and running around, the weight is a big thing. So to play sports, I put it in a backpack."
Tommy Caldwell,"Climbing a big wall over several days is like running a giant construction project: constantly making lists, rigging ropes, organising food, figuring out camera angles - but you're in this crazy place with your best friends, and it does take on a party atmosphere sometimes, like a big dudes' camping trip."
Shemar Moore,"Because I could throw so hard when I got to college, they made me a pitcher. If I had to it all over again, I would have stuck to playing in the outfield. I loved running. I can catch everything in the outfield. I could throw people out from the fence."
Claire Saffitz,"Running - it keeps me balanced, energetic, and primed for pasta intake."
Jim Brown,"I was just a big guy running down with a big, deep pocket and little short stick putting it against my chest."
Madelaine Petsch,Being vegan keeps my body fueled and running smoothly.
Rob Gronkowski,"Whatever's asked of me, I'm just going to go out there and perform my routes and how I've been coached all week, perform in the running game, pass blocking, run blocking, whatever it is."
Travis Kelce,"The biggest thing in terms of route running for me is knowing what the defense is in, knowing the coverage. Once you know the coverage, now you can start manipulating the defense. You can start to kind of trick them in where you're going to go and where you want to get open."
Terry Funk,My first match was against Sputnik Monroe at the Amarillo Sports Arena. It was scheduled for only ten minutes. Sputnik got me down and was on top of me for the first eight minutes. My father came running down to the ring and yelled for me to get up. I don't know how I got up but I did. I was a lot more scared of my father than I was Sputnik.
Jeff Goodell,The end of coal in Appalachia doesn't mean that America is running out of coal (there's plenty left in Wyoming). But it should end the fantasy that coal can be an engine of job creation - the big open pit mines in Wyoming employ a tiny fraction of the number of people in an underground mine in Appalachia.
Laila Ali,"Running is my time for myself. I'm like, 'I'm going for a run!' and my husband knows I'm out of there."
Paul Manafort,"When it comes to the general election, we are no longer running as an individual: we are running as the head of a ticket. And so the party itself will be doing some things to raise money, and Mr. Trump has indicated that he'd be willing to help the party."
Phil McGraw,"I think you're running into a lot of trouble if your idea of foreplay is, 'Brace yourself honey, here I come!'"
Maxime Bernier,"We want First Nations and these people to be like Canadians on a lot of points of view. Right now, that's not normal that they cannot have running water on reserve. We need to fix that, but it must not be imposed by Ottawa, a top-down bureaucratic decision."
Jamie Hyneman,"Running out of material for 'MythBusters' is like saying, 'We've done everything we could possibly do and we're not curious or interested in anything.' Let's hope that never happens."
Salma Hayek,"I was privileged to grow up in Mexico at a time when you could play in the streets. We lived not too far from the ocean, and we would be outside all the time with the neighbours' kids, running free. What better place could there be for a child?"
Michael Sata,"Dr. Kaunda, although he was running a one-party state, was very close to the West, and that is why he achieved as much as he did. But we drifted away from the West to look for new friends."
Jamie Dimon,"That's my contribution - running a sound, healthy company that serves millions of customers well and employs hundreds of thousands of people. What else am I going to do? I'm not an artist. I'm not a writer. I'm not a musician. I'd love to be a tennis player or musician. I'm not."
Michael Che,"I like comedy that's not political but social, dealing with issues of people talking to each other. No matter what your politics, we still have to live with each other. Politics is taking a side. I'm not running for office, you know?"
Pierre Nanterme,"The rigor and discipline we use in running our business is key to consistently executing our growth strategy. And we systematically applied the same discipline to our investments, including acquisitions."
Mark Webber,"Cycling keeps me lean and I need to stay in shape, especially as I still like eating chocolate and ice-cream! I like to go mountain biking too. Running is also good; it's what we were designed to do as humans, so it comes naturally."
Cheech Marin,Chicanos and running water are endlessly fascinating. I can watch them all day.
Joyner Lucas,I stopped watching sports because I didn't want to watch someone running up and down the field making millions and I'm not doing anything about it. That methodology made me go harder and take control of my career.
Jason Statham,I was running around and bouncing out of the pram as a baby.
Sherrod Brown,The Republicans are running wild with our tax dollars and it's been a mistake to let this administration continue a policy of incompetence when it comes to Iraq.
Uddhav Thackeray,"I know this government is running in a three-wheeler like an autorickshaw, but for the poor people the steering is in my hand and the other two are sitting behind supporting."
Alexander Zverev,"Me and my brother are players that spend three to four hours in the gym every day doing running, lifting heavy weights, and doing treadmill stuff."
Flea,"I have a trainer, a really nice woman named Nina Greenberg, and she got me a training plan, and we go running in the canyons in Malibu. It's just beautiful up there, absolutely gorgeous. You see bobcats up there sometimes."
Joe Murray,I had worked on dogs for a couple of years developing a renal transplant operation. We had dogs running around with kidneys we had transplanted back into themselves.
Mark Waid,"In a perfect world, I'd like to start running comics for kids - by kids."
Lawrence O'Donnell,"Successful presidential campaigns follow a two-part strategy. For Republicans, Richard Nixon described it as running to the right in the primaries and running back to the center in the general election. For Democrats, the idea is to go to the left in the primaries, then to the center."
Joe Lonsdale,My experiences building Palantir and running Addepar made me aware of serious problems with government and inspired me to build a non-profit to look into state spending.
Nolan Gould,"I like reading, writing, hiking, camping, free running, surfing, rock climbing, long boarding, and so much more."
Jimmy Fallon,"Arnold Schwarzenegger's publicist told USA Today that the actor has not ruled out running for governor of California, saying that he will make a decision soon. Reportedly Arnold needs that time to learn how to pronounce 'gubernatorial.'"
Dennis Kucinich,I am running for President of the United States to enable the Goddess of Peace to encircle within her arms all the children of this country and all the children of the world.
Al Sharpton,I do believe the Democratic party has moved far to the right. I do believe that the party has a bunch of elephants running around in donkey clothes.
Billy Bob Thornton,I believe in running through the rain and crashing into the person you love and having your lips bleed on each other.
Janet Napolitano,"I'm angry that the private sector, which is supposed to be in charge of running gasoline into the Valley, doesn't have its act together to deal with a critical situation, so now the public sector has to step in."
Stanley Marcus,Running those poor steers back and forth in the heat is ridiculous. What they ought to do is put the steers in the convention hall and run the delegates.
Beverly Jones,"Romance, like the rabbit at the dog track, is the elusive, fake, and never attained reward which, for the benefit and amusement of our masters, keeps us running and thinking in safe circles."
Bam Margera,"The neighbors could be as mad as they want, but I'm not running a business at the house. It's just a location. It will never get me out of here, because I don't have offices set up at my house, and that's what the township thinks."
Brett Favre,"With each game I play, each season I play, everyone would agree with me, I'm running out of chances."
Bob Beauprez,"For too long, our country's version of an energy policy has consisted of Americans waking up every day and wondering how much it will cost to drive to work, how much it will cost to keep their business running, how much it will cost to heat or cool their homes."
Joe Gold,"To keep it simple you run your gym like you run your house. Keep it clean and in good running order. No jerks allowed, members pay on time and if they give you any crap, throw them out. There's peace where there's order."
Rey Mysterio,No matter how much cardio you do - running or biking or whatever - it's never the same as being in the ring.
Ian Caldwell,The Vatican has to strike a difficult balance between running a country and running a religious institution.
Dean Potter,"My mom was a yoga teacher back in the 1960s, so I observed a lot of the practice. It's movement of the body with awareness to the breath, which you can do with running, push-ups or walking on a piece of nylon tied between two trees."
Patrick Mahomes,"Coach Reid is a great teacher. He understands how people learn, understands how to get people to get the concept of what the play is and why we're running it."
Adam Grant,"We all have original ideas. Even if we don't see ourselves as supercreative or as wild nonconformists, we have insights every day about how the world around us could be better. It might be a better way of running meetings in your office that would be less mind-numbing. It might be a little twist on a product or a service."
Flea,"It's fun to just get out there and have a nice conversation when I'm running. To be honest, when I do longer runs, the trail that I like to run up in Malibu has mountain lions, so I always feel I want to run with someone else."
Jeremy Wade,"I grew up in a little village in England that had a river running through it so I've been fishing from a very early age, maybe seven or eight."
Evelyn Ashford,"When I'm running fast, I don't feel anything, it's effortless, it's like my feet don't even touch the ground, it's like I'm flying."
Robert Nelson,In the first debate the bulges create the impression of a letter T with a small feature which appears similar to a wire under the jacket running upward from the right.
Jake Gyllenhaal,"When I was young, before school, my father would wake me up and we would go running together. A love of being physical, being active and being outside was something he instilled in me."
William Inge,"If the universe is running down like a clock, the clock must have been wound up at a date which we could name if we knew it. The world, if it is to have an end in time, must have had a beginning in time."
Matt Rosendale,"If we allow responsible management of our forests and end the nonsense litigation from radical environmental groups, we can get our timber mills up and running, reduce the risk of wildfires, and ensure healthier forests and cleaner air."
Sam Taylor-Johnson,"A friend got me a job on the door of the Camden Palace nightclub, which quickly progressed to running the place."
Dean Karnazes,I have an ElliptiGO. It's a standup bicycle. You don't pedal; you stride on it. It allows me to have the same striding motion as running without the impact.
Jessica Biel,"I feel my knees changing - like, why do I have this pain when I'm running on the treadmill? What's going on with my lower back when I wake up in the morning? I just feel changes. And I'm definitely fearful in a very vain manner about my body ageing."
Jeff Greenfield,"When Ronald Reagan chose George H.W. Bush in 1980, it was a clear signal that he was running an inclusive campaign; that he welcomed the moderate and even liberal wings of the GOP - there was a liberal wing back then - into his campaign."
Ben Chilwell,"I had what Leicester gave me but then I worked with a guy around my house, a guy that my agent recommended. I worked with him for the three weeks solid, leading back into pre-season. We were just doing horrible running. Minging running! It wasn't pretty to be fair!"
Jay-Z,"My brands are an extension of me. They're close to me. It's not like running GM, where there's no emotional attachment."
George Clooney,"The government itself is running exactly like the Sopranos and they sit back and they make deals. And they say okay, 'I'm going do this: France, you're getting the pipelines.'"
Ralph Cudworth,"Sense is a line, the mind is a circle. Sense is like a line which is the flux of a point running out from itself, but intellect like a circle that keeps within itself."
Walter F. Mondale,"Running for President is physically, emotionally, mentally and spiritually the most demanding single undertaking I can envisage unless it's World War III."
Alan Ayckbourn,He really is terribly heavy going. Like running up hill in roller skates.
Arlen Specter,I must say I am not pleased to have to arrange the Senate schedule around the availability of Senators who are running for President.
Howard Stringer,"Frankly, I was surprised at how generous the Japanese press has been to the idea of a foreigner running Sony."
Al-Waleed bin Talal,"My wheels are running. My investments are local, regional and international."
Arthur Lydiard,Encourage kids to enjoy running and play in athletics. Don't force them to run too much competition.
Anjelica Huston,I had one nanny who made me sit in front of a bowl of porridge for three or four days running when I refused to eat it. I remember being very unhappy about that.
Dennis Wilson,"Brian was the oldest, I was in the middle and Carl was the baby. I was the troublemaker. Brian got great grades and Carl got the kind of grades I did. I failed everything. I was too busy fighting and running wild."
Thelma Ritter,"Do you know what I like about your program? Even when I'm running the vacuum, I can understand it."
Patricia Schroeder,"When people ask me why I am running as a woman, I always answer, 'What choice do I have?'"
Evan Hunter,"I enjoy what I do every minute of the day, even when the going gets tough. When I first began writing, I used to work at a desk in the bedroom, of a small development house. My three sons all under the age of 3 would come running in and out of the room every minute."
Ben Elton,"I try hard not to preach, but I get carried away, which is a mistake, but it's a risk worth running."
Bill Dixon,"I have been going to Italy since 1980, but I always went to do work. I did not live overseas, because I do not like running around with everything I own in a paper bag."
Kenneth Baker,"So all the system was running down and collapsing. Mrs. Thatcher became the leader of the Conservative Party in February 1975, and she clearly wanted to strike out and do something different."
Jerome Richardson,"Hey, look at this guy Kenny G. with his thing, walking up and down the aisles of the concert hall and running off the stage and playing the same time. It's old hat!"
Tommy Tune,Time is running out to permeate the piece.
Bill Rodgers,Hills are terrific for running.
Bill Rodgers,"I believe you'll develop speed via strength work which includes hill running, either repeats, or running hilly courses as the Kenyans do on a steady basis."
Harry Hay,The assimilationist movement is running us into the ground.
David Gest,"I did try to leave, and she came running after me."
Joan Van Ark,"When you're on a long running series, you reach a very rarefied, high oxygen area and after a while to keep a show on the air they have to make some very drastic changes."
Yahoo Serious,"We live in a time where government is not a leadership thing, it's more a business that's out there and running riot, so I guess the people have to go out there and say stuff."
Vaughn Monroe,There are hundreds of people running around with great voices. If they would study and develop them they could become great singers.
Pauline Hanson,"My view on issues is based on common sense, and my experience as a mother of four children, as a sole parent, and as a businesswoman running a fish and chip shop."
Aaron Neville,I feel it was just a few years ago I was running around in short pants.
Russell Simmons,"I want to promote poetry to the point where you got all the baldhead kids running around doing poetry, getting the music out of the way and having only words, the spoken word, and then see what happens."
J Allard,I don't worry about great visuals that they showed that weren't actually running on real hardware. It doesn't matter. Gamers don't make their purchase decisions based on movies that were shown in May for products that come out in March.
Lloyd Cutler,"I learned running the government for the Presidency, which I always thought was difficult, is even more difficult than I thought."
Keith Emerson,"There's a clip where he had someone miming me running around from keyboard to keyboard. Oh dear, I am sure a lot of people didn't know what he was going on about."
Michael D. Barnes,"The vast majority of Americans agree with us. We're doing everything that we can. We're advertising, right now we're on television with an advertisement running in the Washington area. We've got newspaper ads."
David Baltimore,"I think we can allow the therapeutic uses of nuclear transplant technology, which we call cloning, without running the danger of actually having live human beings born."
Miguel de Icaza,Running the test suite like this allows us to catch problems when they are just introduced.
John Spratt,"Just a few short years ago in the year 2000, the last full fiscal year of the Clinton administration, this country was running a surplus of $236 billion."
Major Owens,There's a kind of sick security some people get out of keeping away from people with disabilities. They are running away from any situation that's not totally pure and all-American and that requires them to do any thinking.
Andy Goldsworthy,"I have worked with this red all over the world - in Japan, California, France, Britain, Australia - a vein running round the earth. It has taught me about the flow, energy and life that connects one place with another."
Betty Hill,Vote Smart has sent out thirty thousand questionnaires to every candidate running for office.
Mike Johanns,"The big producer is going to figure out how to deal with whatever the rules are, but the little guy who is running a few hundred units or maybe feeding 1,500 cattle a year, how will they ever comply with these requirements?"
Alva Noto,I usually create sounds and have different generators running over it. You know you can open a word-file as a picture or the other way round. I do the same with sounds.
Frank Lampard,"Training's completely different now. It used to be a lot of running and work without the ball. Now it's all with the ball, which any player loves."
Shirley Williams,We really shouldn't be running education like a supermarket where you compare prices.
Artur Davis,Sometimes running for Congress is a four-year strategy in terms of getting out there and building a network.
John Howard,"I'm not running away from the fact that I had previously said I did not contemplate a major increase, and that was a fair statement of the Government's state of mind at the time I made that."
Aaron Spelling,"Now I've even gotten to running out to the fan buses that pass by our house, so I can talk to the people. I think I'm trying to gather fans, frankly. They're very, very nice people - they really understand. It's fun talking to them."
Al Michaels,"Any time a running back reaches the age of 31 or 32, he has to lose a step. No one is a freak of nature. No one is going to be able to take the pounding a running back has to take over a 10- or 12-year career and not lose a step."
Bill Rodgers,I believe in gradual experimentation with running shoes.
Bill Rodgers,"I believe in keeping running simple and, in regard to shoes, that would mean no gimmicks, unnecessary cushioning, etc."
Steven Brust,I'd rather be running the game than playing it.
James Galway,"Running through things because you are familiar with them, breeds routine and this is the seed of boredom."
Joan Van Ark,Running is my church.
Wayne Rogers,There is a big cry in California to stop everyone from running to Canada.
Ed Koch,Maybe he just looks good compared to the bores he's running against.
Colin Hay,It strikes me there's a bunch of people in power who have really strong intentions of running the world and adjusting the world to exactly how they see it.
Don Bluth,"We started getting the script to different people and we were in the business of trying to fund it so we could get it off and running, and all the characters and sets designed and everything."
Paula Radcliffe,I can't imagine living and not running.
Bill Kurtis,"My personal philosophy is I'm running a 100-yard dash, and I haven't reached the end."
Sanjay Kumar,"Some story appears in some newspaper that says that somebody said X, Y, and Z, and a customer says, I don't understand what they're talking about - we're running that product, we've been using it for five years, what are they talking about?"
Bradley Cooper,I think he's Will 's partying a lot in Cabo. I think he's running a brothel. I don't know what he's doing.
Todd English,"Some of the things I think I learned from that were very educational as far as just paying bills - the basics in dealing with a restaurant like that. It was just life - the education involved in running the organization, even on a small level."
Daniel Keys Moran,"I'm a liberal where children are concerned, a libertarian where adults are concerned - and thinking very seriously about running for the House of Representatives, for whatever that's worth."
Jamal Lewis,"That's what we really mean by being feared on the football field. And not actually the player that fears him, it's the offensive coordinator that fears him or the running backs coach."
Dennis Brown,"Sometimes that is why you might even stay in the bathroom for even half an hour, making that water running all over, just singing."
Keith Urban,"Once we get into the groove, we're kind of like long-distance runners - that adrenalin kicks in for me and I just keep running - and I don't stop!"
Esther Williams,"I never walked the streets of New York hoping to be a musical comedy star. For one thing, they would have thought I was too tall, because l was five feet eight and a half, and they were all little bitty things running around in the studio at that time."
Richard Russo,I suppose all writers worry about the well running dry.
Peter Mayhew,"When you've got eight or nine or ten cables running around with someone trying to operate them, it's too much."
Dick Wolf,Everybody knows things are not the same. The people running the TV end of a major vertically integrated company know how much money a successful show can make.
"Harold Ford, Jr.","I think the country is very settled in a lot of ways, and we saw that after the Democratic Convention. I think a lot of the bump that we enjoyed came when John Kerry selected John Edwards as his running mate."
John Podesta,"In fact, I think that Governor Clinton, when he was running, and President Clinton, when he was serving, actually governed with a wide range of advisors and a perspective that blended the best of ideas from the center and the left."
Cathy Freeman,"I was running since I was 10. Since grade one at school people looked at me and thought, oh gosh she can really run, she's a natural."
John Podesta,"There are people who kind of gravitate towards running politics based on new ideas and issues, and that was what the secret was for Clinton."
Cathy Freeman,"I made my first Australian senior team when I was 16, first Olympics when I was 19, and I retired. I'm 32, I retired four years ago, so a good third of my life or nearly a third of my life has been all about running."
Patricia Ireland,I just have that sense this is the reason we got Sandra Day O'Connor on the Court in the first place is because Ronald Reagan was running for President.
Mick Taylor,I do to keep things sounding fresh. Sometimes just changing the running order of the show is a good idea.
